RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.028762294,85,0,47.0,,8,0,0,0,0.0
0.054332201,40,0,0.248833593,4500.0,6,0,1,0,2.0
0.883623275,33,0,0.309995953,2470.0,3,0,0,0,1.0
0.950161405,28,0,1.398000909,2200.0,11,0,2,0,0.0
0.64148428,26,0,0.253024724,1900.0,4,0,0,0,0.0
0.9999999,22,0,375.0,,0,0,0,0,0.0
0.9999999,23,0,21.0,,0,1,0,0,0.0
0.007403729,62,0,2443.0,,4,0,1,0,0.0
0.335242356,72,0,1.106268161,2408.0,14,0,1,0,0.0
0.063512956,53,0,0.225349505,10800.0,8,0,1,0,3.0
0.105736066,50,1,0.740458015,2750.0,9,0,1,0,4.0
0.033906539,57,0,0.189535644,7644.0,8,0,0,0,4.0
0.040252912,60,0,1798.0,,7,0,2,0,0.0
0.53589999,62,0,0.424676741,6418.0,24,0,0,0,0.0
0.0,61,0,0.0,,4,0,0,0,0.0
1708.0,67,0,0.383659477,7000.0,6,0,2,0,0.0
0.025186975,79,0,0.289024923,4573.0,10,0,1,0,0.0
904.0,30,0,0.00779844,5000.0,3,0,0,0,0.0
0.220951438,55,1,0.69151671,3500.0,26,0,1,0,0.0
1.00759962,58,0,0.272414358,6100.0,4,0,1,0,0.0
0.9999999,22,0,12.0,,0,0,0,0,
0.333373245,69,0,0.426214757,3333.0,11,0,1,0,1.0
0.9999999,85,0,210.0,,1,0,1,0,0.0
0.067572971,41,0,0.226402924,4650.0,4,0,1,0,0.0
0.289494137,64,0,0.53200311,7717.0,10,0,2,0,1.0
0.916527784,44,2,1.552023907,3680.0,19,0,1,0,1.0
0.029174271,37,0,1.414868106,1250.0,3,0,1,0,0.0
0.029998,77,0,0.657713929,1600.0,5,0,0,0,0.0
0.074070034,39,1,1031.0,,4,0,1,0,0.0
0.798256857,27,0,0.352647353,1000.0,7,0,0,0,0.0
0.060646968,73,0,36.0,,1,0,0,0,
0.002760524,82,0,0.001666111,3000.0,12,0,0,0,0.0
0.31349098,58,0,2785.0,,10,0,1,0,0.0
0.513123698,49,0,0.553864518,3350.0,8,0,1,0,1.0
0.217608787,52,0,1381.0,0.0,9,0,1,0,0.0
0.081180236,51,0,0.279588816,25000.0,12,0,3,0,3.0
0.045800977,41,1,0.162700609,12648.0,6,0,2,0,1.0
0.557074944,45,1,0.552466762,9100.0,14,0,2,0,2.0
0.911838219,41,0,0.157536985,2500.0,3,0,0,0,2.0
0.084383123,39,0,290.0,,2,0,0,0,0.0
0.150237596,56,0,17.88118812,100.0,8,0,1,0,2.0
0.127843608,69,0,1210.0,,4,0,1,0,
0.352669504,51,0,0.216203862,8750.0,9,0,2,0,0.0
0.471828832,62,0,2117.0,,9,0,1,0,0.0
0.429458615,57,0,0.76004897,4900.0,6,0,1,0,0.0
0.053379653,64,0,0.403217012,3667.0,6,0,1,0,0.0
0.020494586,50,0,0.35195149,11708.0,21,0,3,0,1.0
0.9999999,52,0,0.0,4850.0,1,0,0,0,1.0
0.0,39,0,0.027339478,6400.0,3,0,0,0,0.0
0.557336549,47,0,0.189142906,11678.0,6,0,0,0,3.0
0.446044316,53,0,167.0,,2,0,0,0,0.0
0.496081919,48,0,0.38287701,2300.0,4,0,0,0,0.0
0.281370699,48,0,5800.0,,19,0,3,0,0.0
0.004090835,61,0,0.000832755,7204.0,5,0,0,0,1.0
0.931150378,43,0,0.507257936,6268.0,10,0,1,0,0.0
0.961454639,62,0,5011.0,,9,0,2,0,0.0
0.124836934,63,0,0.199755152,4900.0,17,0,0,0,0.0
0.261411533,42,1,2139.0,,10,0,1,1,0.0
0.794548692,42,0,0.103179364,5000.0,5,0,0,0,0.0
0.157208692,57,0,0.46215367,3500.0,10,0,0,0,1.0
0.605744881,52,2,0.495050099,16666.0,45,0,4,2,2.0
0.584966014,43,0,0.346978558,1025.0,4,0,0,0,3.0
0.701511762,81,0,0.223888056,2000.0,3,0,0,0,2.0
0.873258849,79,0,0.704792708,3400.0,11,0,2,0,0.0
0.007659642,76,0,0.027479446,13500.0,13,0,0,0,0.0
0.024731,75,0,0.692393115,1800.0,7,0,1,0,0.0
0.087526032,67,1,0.888138983,8000.0,24,0,3,0,0.0
0.706594886,38,0,0.230368311,2877.0,3,0,0,0,0.0
0.992290086,46,1,0.258287574,4916.0,10,1,1,2,1.0
0.039652276,63,0,62.0,,10,0,0,0,0.0
0.0,39,1,0.601611459,3350.0,9,0,2,0,0.0
